err_rate,inj_rate,run_id,k,error,detected,sum_Ap,expected_sum,abft_error
0.0,0.0,1,1,False,False,10219.7,10219.7,False
0.9,0.03,182,1,True,False,10232.0,10232.0,False
0.2,0.07,116,1,True,False,10214.5,10214.5,False
0.6,0.1,159,1,True,False,10218.6,10218.6,False
0.0,0.0,92,1,False,False,10219.7,10219.7,False
0.0,0.0,60,1,False,False,10219.7,10219.7,False
0.0,0.0,83,1,False,False,10219.7,10219.7,False
0.0,0.0,20,1,False,False,10219.7,10219.7,False
0.5,0.01,140,1,True,False,10223.0,10223.0,False
0.0,0.0,51,1,False,False,10219.7,10219.7,False
0.1,0.04,103,1,True,False,10221.2,10221.2,False
0.7,0.03,162,1,True,False,10210.6,10210.6,False
